,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울시 구별 일별 시간대별 교통사고 건수(2017년~2018년),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
발생일,발생지_구,종로구,중구,용산구,성동구,동대문구,성북구,도봉구,은평구,서대문구,마포구,강서구,구로구,영등포구,동작구,관악구,강남구,강동구,송파구,서초구,양천구,중랑구,노원구,광진구,강북구,금천구,합계:,
,발생시간_분류,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,
20170112,02시-04시,,,,,,,,,,2,,1,1,,1,,,1,,,,,,,,6,
20170112,04시-06시,,,,,,1,,,,,,,,,,,,1,,,1,1,,,,4,
20170112,06시-08시,,,1,1,,,1,1,,,1,,,,,,,,2,1,,,,1,,9,
20170112,08시-10시,,1,,1,,1,1,,,,1,,,,1,1,1,1,1,,,,,,1,11,
20170112,10시-12시,1,,,,,,1,,1,,1,,,2,,1,,,1,,,,,,,8,
20170112,12시-14시,,2,1,,1,,,1,,1,,,1,1,,,,1,,,,,,,,9,
20170112,14시-16시,,,1,,2,,,,,1,,,,2,,3,1,,,,1,,1,,,12,
20170112,16시-18시,,,2,,,,1,1,,,,2,2,1,,,,,,,,,,,2,11,
20170112,18시-20시,,,,1,,,,,1,1,,,2,,,1,,2,,3,,,,1,,12,
20170112,20시-22시,,,,,,,,,1,1,,,1,,2,1,,,1,,1,,,,,8,
20170112,22시-24시,,,1,1,1,,,,,1,,2,,2,1,3,,1,1,1,,,,,,15,
20170113,00시-02시,,1,,,,,1,,,,,,1,,,,,,,,,,,,,3,
20170113,02시-04시,,,1,,,,1,,,1,,,,,,,,,1,,,,,,,4,
20170113,04시-06시,,,,1,,,,,,1,,1,,,,1,,,,,,,,,,4,
20170113,06시-08시,,1,,,,1,,,,1,,,,2,,,,2,,,1,1,,,,9,
20170113,08시-10시,1,,,,1,2,,,,,2,1,1,3,,1,,1,,1,1,1,,,,16,
20170113,10시-12시,1,1,,,2,,,1,,,,,,,,1,1,1,2,,1,,,,,11,
20170113,12시-14시,2,,,,,,,,,,,,,1,,1,,2,1,,,,,1,,8,
20170113,14시-16시,,,,,,,1,,,1,1,,1,1,3,1,,1,3,,,,1,1,,15,
20170113,16시-18시,,,1,,,1,,,,,,1,1,1,,2,,,,,,,,,,7,
20170113,18시-20시,,,,,2,,,,1,,,1,1,1,,1,,1,2,1,1,2,,,,14,
20170113,20시-22시,,,1,,1,,,,,2,,1,,,1,2,1,1,1,1,,1,,,,13,
20170113,22시-24시,,1,,2,1,2,2,,,1,1,,1,,,,,1,,,,1,,,,13,
20170114,00시-02시,,2,,,,,1,1,,,1,1,,1,,,,1,1,,,,,,,9,
20170114,02시-04시,1,,,1,,,,3,,,,,1,,,1,,2,2,,,,,,,11,
20170114,04시-06시,,,,,,1,,,,,,,,1,,1,,,1,,,1,,,1,6,
20170114,06시-08시,,,,,,,,,,1,,1,,,,1,,1,1,,,,,,,5,
20170114,08시-10시,,,,,,,,,,,,,,1,,3,1,,2,,,1,,,1,9,
20170114,10시-12시,,,,2,1,1,,,,,,1,,,,2,,,2,,,,,,,9,
20170114,12시-14시,,1,,1,,,,1,,1,1,,,,1,2,,,2,,,2,,,,12,
20170114,14시-16시,,,1,,,,,,,,1,1,,,,,1,,1,,,,1,,1,7,
20170114,16시-18시,,,1,,,1,,,,1,,1,,,,1,,,,1,1,1,,,1,9,
20170114,18시-20시,,,,,,1,,1,,1,1,,,1,3,1,1,1,2,,,,,,1,14,
20170114,20시-22시,,,1,,,,,1,1,,,1,1,,2,2,,1,,,1,,,2,,13,
20170114,22시-24시,1,,,,,,,,,,,1,1,,,,,2,,1,,,,2,,8,
20170115,00시-02시,,,1,,1,,,,,,1,1,,,,,1,,,,,1,,,,6,
20170115,02시-04시,1,,1,,,,,,,3,,,,,,,,,1,,,,,1,,7,
20170115,04시-06시,,,,,,,,,,1,1,,,,,,,,1,,,,,,,3,
20170115,06시-08시,,,1,,,,,,,,2,,1,,,1,1,3,,1,1,,1,,,12,
20170115,08시-10시,,,,,,,,,,,1,,,,,1,,2,1,1,,,,,,6,
20170115,10시-12시,,1,1,1,1,,,,,,,,,,1,1,,,1,,1,,,1,,9,
20170115,12시-14시,,1,1,,,1,,,1,1,,,,,1,1,,1,1,,,3,,,,12,
20170115,14시-16시,1,,,,,1,1,,,,,,,,,,,,,1,1,,1,1,,7,
20170115,16시-18시,1,,,,1,,,,,1,1,1,,,,,,1,2,,,,,,,8,
20170115,18시-20시,,1,,,1,1,,,,,,,2,1,1,,1,,1,,,,1,3,,13,
20170115,20시-22시,,,2,,1,,1,2,1,1,1,1,,,1,1,,1,,1,,2,1,,,17,
20170115,22시-24시,,,,,,,,,,,,,1,,,,1,2,1,,,1,,,,6,
20170116,00시-02시,1,,,,,1,,,,,1,1,2,,,,,,,,,,,,1,7,
20170116,02시-04시,,,,,,,,,,,,,,,,,,1,,1,,,,,,2,
20170116,04시-06시,,,,,,1,,,,,1,,,,,1,,,1,,2,,,,,6,
20170116,06시-08시,1,,,,,,,,,,4,,,1,,,,,1,2,,,,,,9,
20170116,08시-10시,1,,,,1,,3,,3,,1,,1,1,1,2,,,1,1,,1,1,2,,20,
20170116,10시-12시,,,1,,,1,,,,2,2,,,,,,,,5,1,,,1,,,13,
20170116,12시-14시,,2,,,,1,,1,,,,,1,,,1,,1,1,1,2,,,,,11,
20170116,14시-16시,,,1,1,,,,,,2,1,1,,,,,,,,,2,,,,,8,
